"","x"
"1",5.49771313251235
"2",4.71954244851374
"3",4.83059227743075
"4",5.77100731757693
"5",5.90966184471923
"6",4.61019114998323
"7",5.87877675428633
"8",4.7097713780998
"9",5.06854569382169
"10",4.61013151686071
"11",4.86362734176734
"12",5.03439025594367
"13",5.23549244858464
"14",4.87785479068642
"15",5.60657459235361
"16",5.55509153351456
"17",5.88673183424598
"18",5.20559043548919
"19",4.05579223796504
"20",4.95220270032839
"21",5.60206209165572
"22",5.37471281374323
"23",4.0072062886515
"24",4.99133818697365
"25",5.20601657638742
"26",4.99051434757286
"27",5.74999736863365
"28",4.93833088074977
"29",5.34905746011587
"30",5.78604143422897
"31",5.63604381725379
"32",5.37955218722528
"33",5.43938305629365
"34",5.47755384506483
"35",5.61636630253815
"36",4.35573287041279
"37",5.13753520117783
"38",5.13087731842525
"39",5.60260050606553
"40",5.10395967774641
"41",4.82293800682601
"42",3.88986824428922
"43",4.49317898965698
"44",5.47231507252036
"45",5.09189774826371
"46",5.05811130027533
"47",5.50947474436754
"48",5.23727333220731
"49",4.81407549699557
"50",3.8505976271181
"51",4.85182688150367
"52",4.91369487556083
"53",5.69778697937791
"54",5.34307975646705
"55",4.73717241703666
"56",5.64599858454688
"57",5.50479137549056
"58",5.06241505415967
"59",4.59905911274564
"60",4.67332616939032
"61",4.22983521502529
"62",5.05546616940278
"63",5.2786563247829
"64",6.03835259916591
"65",5.80011075438289
"66",5.65998706843745
"67",4.93710922824825
"68",4.9269841202387
"69",4.6339963081205
"70",5.16720304663574
"71",4.64315566559791
"72",5.46390697372297
"73",4.41099537353797
"74",4.70691332881826
"75",5.13712218598586
"76",4.52327722936900
"77",5.01687628968193
"78",4.68606802931531
"79",5.52113891576954
"80",5.70825657998866
"81",5.10458646613368
"82",4.81551754141651
"83",4.60656029146279
"84",5.07047334074994
"85",4.70451586906024
"86",5.39673482167161
"87",5.39060783127162
"88",5.19123175907527
"89",4.84942099838026
"90",4.69245917610754
"91",4.78105677467893
"92",5.67794241113789
"93",6.04433332858066
"94",4.46982054132696
"95",5.1226562999377
"96",5.29359956636991
"97",5.8995782235292
"98",5.49953473912046
"99",4.25671957660954
"100",5.49762031894126
"101",5.07130719859811
"102",5.01699634797859
"103",4.90802579067231
"104",3.97546308760224
"105",4.70997647317704
"106",5.63233622448899
"107",4.55311381677637
"108",5.35335781401221
"109",4.9975468105165
"110",4.95363720460071
"111",4.76991079554875
"112",4.52288281959686
"113",5.57192050449733
"114",5.42044717168146
"115",4.88640679222725
"116",5.0131650794704
"117",5.42849966560205
"118",4.50104297186392
"119",4.76841363134426
"120",4.97943394162734
"121",5.973379155662
"122",4.64769325234057
"123",4.57741659282867
"124",4.62370109712642
"125",4.7945549931185
"126",4.57572631416192
"127",4.30670252077633
"128",4.67643906687575
"129",4.64485640736275
"130",4.66274837743393
"131",4.84171144381754
"132",4.54825424922538
"133",5.0674456312247
"134",5.67645493634882
"135",5.14208568972254
"136",5.19615103086374
"137",4.58496053060748
"138",5.13804170319664
"139",5.65135417633642
"140",5.45632384559735
"141",5.07776371389929
"142",5.2017458340859
"143",4.77703428813559
"144",5.08069781415831
"145",4.94728381618783
"146",4.89100323886695
"147",3.72079907775994
"148",5.14985916898653
"149",4.57991577834232
"150",5.33154480863622
"151",4.60406430559813
"152",4.63136149004874
"153",5.05123216953925
"154",4.73927789077035
"155",5.10116402018232
"156",4.64027662174202
"157",5.42070571779575
"158",5.32058692394856
"159",4.95441593868768
"160",4.99660007564295
"161",5.34173817323973
"162",4.90108155383899
"163",4.76907372963721
"164",4.72976719456484
"165",5.08174997280868
"166",4.51285122032976
"167",5.60746922608674
"168",4.2255373016885
"169",4.97219268708022
"170",4.39946220186671
"171",4.63054257779397
"172",4.84836573249433
"173",4.81042204483989
"174",5.78818540493743
"175",5.0047261010606
"176",4.53502051926961
"177",4.51285428270828
"178",4.90589137672631
"179",4.39291932160284
"180",4.28912335859832
"181",4.14883858811317
"182",5.18859042659913
"183",4.8921019893538
"184",4.40812177621521
"185",5.34455134839226
"186",4.9797798096968
"187",5.54457929461839
"188",4.92003713522655
"189",5.45260611864611
